date	year	month	I_bln_rub	I_rog	I_yoy	Uslugi_bln_rub	Uslugi_rog	Uslugi_yoy
2006-08-31	2006	8	437,6	113,0	116,7	247,5	99,6	107,5
2006-09-30	2006	9	468,2	105,4	119,3	246,0	99,2	107,9
2006-10-31	2006	10	462,9	97,4	123,8	251,2	101,6	110,8
2006-11-30	2006	11	508,6	108,5	117,6	254,7	100,8	109,1
2006-12-31	2006	12	795,2	155,3	120,0	263,2	102,5	105,6
2007-01-31	2007	1	255,3	31,7	127,6	237,9	87,2	112,2
2007-02-28	2007	2	298,0	115,3	121,1	241,6	98,1	107,8
2007-03-31	2007	3	344,3	115,2	114,7	260,9	107,3	106,5
2007-04-30	2007	4	364,5	104,8	119,4	267,4	101,9	107,3
2007-05-31	2007	5	472,2	127,5	121,1	281,0	104,4	107,9
2007-06-30	2007	6	577,7	120,9	122,7	294,1	103,8	106,0
2007-07-31	2007	7	543,1	92,5	123,2	299,6	101,2	106,5
2007-08-31	2007	8	584,2	105,6	115,1	298,8	99,2	106,1
2007-09-30	2007	9	616,8	103,7	113,2	295,1	98,7	105,6
2007-10-31	2007	10	684,7	109,0	126,7	302,3	102,5	106,5
2007-11-30	2007	11	740,4	106,6	124,5	307,0	100,9	106,6
2007-12-31	2007	12	1235,0	164,9	132,1	321,3	103,5	107,6
2008-01-31	2008	1	364,3	29,0	120,9	288,6	84,0	105,5
2008-02-29	2008	2	447,3	120,3	126,1	297,9	101,7	109,9
2008-03-31	2008	3	503,0	112,3	123,0	313,7	104,6	106,9
2008-04-30	2008	4	544,1	106,5	125,0	323,5	102,1	107,2
2008-05-31	2008	5	672,2	121,5	119,1	331,4	101,3	104,0
2008-06-30	2008	6	775,2	113,2	111,6	351,8	104,7	104,9
2008-07-31	2008	7	725,5	91,8	110,8	365,5	102,8	106,5
2008-08-31	2008	8	782,0	105,4	110,5	354,8	96,1	103,4
2008-09-30	2008	9	861,5	108,3	115,4	360,5	100,7	105,5
2008-10-31	2008	10	879,0	101,0	106,9	362,5	100,8	104,1
2008-11-30	2008	11	877,4	99,4	99,7	355,9	97,4	100,4
2008-12-31	2008	12	1350,1	154,6	93,5	373,7	103,7	100,7
2009-01-31	2009	1	340,2	25,2	81,3	334,8	85,0	100,4
2009-02-28	2009	2	426,2	124,0	83,8	338,7	100,2	98,5
2009-03-31	2009	3	457,9	108,4	80,9	358,1	104,9	98,6
2009-04-30	2009	4	485,0	106,0	80,4	357,7	99,5	96,2
2009-05-31	2009	5	562,5	115,3	76,3	358,9	99,8	94,8
2009-06-30	2009	6	674,6	119,5	80,6	378,5	105,0	95,2
2009-07-31	2009	7	633,4	93,4	81,9	383,1	100,4	93,0
2009-08-31	2009	8	675,8	105,2	81,7	373,7	97,3	94,2
2009-09-30	2009	9	751,8	110,1	83,1	375,0	100,3	93,7
2009-10-31	2009	10	771,9	102,1	84,0	376,9	100,5	93,2
2009-11-30	2009	11	831,3	106,8	90,3	377,0	99,8	95,3
2009-12-31	2009	12	1365,4	163,4	95,4	407,6	107,6	98,3
2010-01-31	2010	1	331,7	24,3	91,7	357,2	84,5	98,1
2010-02-28	2010	2	421,5	125,1	92,5	369,6	102,4	99,9
2010-03-31	2010	3	489,7	117,6	100,4	396,1	106,6	101,6
2010-04-30	2010	4	527,2	107,4	101,7	394,0	99,2	101,5
2010-05-31	2010	5	642,2	119,7	105,6	396,5	100,2	102,1
2010-06-30	2010	6	793,1	122,6	108,3	413,7	103,8	101,1
2010-07-31	2010	7	683,9	85,8	99,5	416,6	100,0	100,8
2010-08-31	2010	8	794,7	114,2	108,1	408,6	97,9	101,4
2010-09-30	2010	9	882,9	109,8	107,8	412,0	101,1	102,2
2010-10-31	2010	10	931,2	104,8	110,6	414,5	100,6	102,2
2010-11-30	2010	11	977,7	104,3	108,0	423,4	101,9	104,2
2010-12-31	2010	12	1676,3	171,4	113,3	448,8	105,4	101,8
2011-01-31	2011	1	367,8	21,6	100,9	402,1	86,0	103,9
2011-02-28	2011	2	486,3	129,8	104,6	409,7	101,2	102,6
2011-03-31	2011	3	567,9	118,4	105,4	438,5	106,6	102,5
2011-04-30	2011	4	611,1	107,6	105,8	443,5	100,7	104,1
2011-05-31	2011	5	766,9	123,8	109,4	447,5	99,9	104,0
2011-06-30	2011	6	928,0	121,0	107,9	465,6	103,1	103,4
2011-07-31	2011	7	824,0	88,1	110,7	459,4	97,7	101,1
2011-08-31	2011	8	969,2	115,7	112,1	461,8	100,3	103,7
2011-09-30	2011	9	1060,9	108,8	111,0	456,9	99,5	102,2
2011-10-31	2011	10	1175,4	109,8	116,3	461,7	100,9	102,4
2011-11-30	2011	11	1192,3	101,1	112,8	474,1	102,6	102,9
2011-12-31	2011	12	2085,9	175,2	115,3	504,0	105,8	103,2
2012-01-31	2012	1	457,3	21,8	116,3	435,7	86,3	103,7
2012-02-29	2012	2	602,3	129,4	116,0	452,0	103,9	106,5
2012-03-31	2012	3	670,5	112,9	110,6	476,7	104,8	104,6
2012-04-30	2012	4	709,9	105,5	108,4	476,8	99,7	103,5
2012-05-31	2012	5	931,6	130,0	113,9	482,4	100,2	103,6
2012-06-30	2012	6	1089,0	116,1	109,3	502,1	103,1	103,5
2012-07-31	2012	7	976,6	88,8	110,2	503,3	97,8	103,5
2012-08-31	2012	8	1099,1	111,4	106,2	499,0	98,8	102,0
2012-09-30	2012	9	1149,3	103,8	101,2	501,6	100,2	102,6
2012-10-31	2012	10	1373,0	118,7	109,4	515,1	102,8	104,4
2012-11-30	2012	11	1303,3	95,1	102,9	524,9	102,1	103,8
2012-12-31	2012	12	2224,2	170,0	99,9	556,6	105,2	103,1
2013-01-31	2013	1	511,4	21,1	104,0	494,9	88,3	105,6
2013-02-28	2013	2	652,5	125,8	101,1	504,1	101,5	103,1
2013-03-31	2013	3	741,5	114,9	102,8	516,8	102,5	100,8
2013-04-30	2013	4	771,6	104,3	101,7	527,1	101,5	102,6
2013-05-31	2013	5	987,0	127,1	99,4	525,6	98,5	100,9
2013-06-30	2013	6	1160,1	116,6	99,9	539,5	101,9	99,8
2013-07-31	2013	7	1053,2	90,7	102,0	555,5	100,4	102,4
2013-08-31	2013	8	1147,2	107,9	98,8	559,5	100,2	103,9
2013-09-30	2013	9	1202,5	103,5	98,5	554,9	99,5	103,1
2013-10-31	2013	10	1449,9	120,2	99,8	565,5	102,3	102,6
2013-11-30	2013	11	1431,9	99,8	104,7	569,1	100,5	100,9
2013-12-31	2013	12	2341,5	162,1	99,8	599,8	104,5	100,1
2014-01-31	2014	1	492,2	21,1	92,7	559,5	89,8	101,8
2014-02-28	2014	2	643,2	129,6	95,5	571,9	102,0	100,6
2014-03-31	2014	3	728,4	114,5	95,3	591,6	103,1	101,3
2014-04-30	2014	4	770,4	106,6	97,4	599,2	100,5	100,3
2014-05-31	2014	5	991,1	127,0	97,3	585,4	97,1	100,8
2014-06-30	2014	6	1180,5	119,0	99,3	601,9	101,8	101,1
2014-07-31	2014	7	1075,1	90,5	99,1	611,9	100,5	100,8
2014-08-31	2014	8	1168,5	107,1	98,4	618,6	100,6	101,1
2014-09-30	2014	9	1204,0	103,3	98,1	621,5	100,6	102,4
2014-10-31	2014	10	1468,5	121,6	99,2	628,6	101,0	101,7
2014-11-30	2014	11	1372,5	92,7	92,2	632,0	100,0	101,4
2014-12-31	2014	12	2433,3	173,8	98,9	680,2	106,5	102,4
2015-01-31	2015	1	516,9	20,5	96,1	607,6	88,1	100,6
2015-02-28	2015	2	680,7	129,1	95,7	614,3	100,3	98,9
2015-03-31	2015	3	772,1	116,4	97,3	641,3	103,7	99,5
2015-04-30	2015	4	812,8	104,1	95,2	634,8	98,6	97,5
2015-05-31	2015	5	1004,2	123,2	92,4	618,0	96,7	97,0
2015-06-30	2015	6	1203,8	119,6	92,9	641,5	102,6	97,7
""
